zip3,latitude,longitude,zcta_count
762,33.517048,-97.441613,42
763,33.721771,-98.853623,28
764,32.584803,-98.574010,48
765,31.113220,-97.619964,47
766,31.710290,-97.053895,56
767,31.564972,-97.139720,10
768,31.215983,-99.378458,48
769,31.014085,-100.891286,25
770,29.794586,-95.407685,96
772,29.720884,-95.343537,1
773,30.477873,-95.250613,56
774,29.401642,-96.026104,71
775,29.669160,-95.007945,58
776,30.246770,-94.176801,30
777,29.974884,-94.193113,8
778,30.679983,-96.309710,36
779,28.930561,-96.971173,34
780,28.703220,-98.977941,56
781,29.071191,-97.918491,42
782,29.457652,-98.524200,61
783,27.616999,-98.104423,44
784,27.639413,-97.443283,18
785,26.385163,-98.153934,61
786,30.272617,-98.145407,64
787,30.287985,-97.799702,44
788,29.480775,-100.257737,34
789,29.924541,-96.877434,25
790,35.461708,-101.616244,73
791,35.207965,-101.851216,14
792,34.246102,-100.572009,31
793,33.360415,-102.158519,47
794,33.580276,-101.885122,15
795,32.687971,-100.304848,47
796,32.459471,-99.708488,7
797,31.514865,-102.636891,50
798,30.503777,-104.210711,21
799,31.804550,-106.180573,25
800,39.808412,-104.902371,27
801,39.505889,-104.470593,35
802,39.774979,-104.936522,44
803,40.020942,-105.295743,6
804,39.982229,-106.179426,57
805,40.561860,-105.358706,32
806,40.409513,-104.482331,27
807,40.383591,-103.065416,33
808,39.079319,-103.450024,39
809,38.775663,-104.637271,31
810,37.774941,-103.583342,52
811,37.534775,-106.400514,29
812,38.460155,-106.411602,29
813,37.498141,-108.382996,15
814,38.423645,-108.042304,23
815,38.937124,-108.675156,14
816,39.981296,-107.859001,34
820,41.319893,-105.198749,22
821,44.519967,-110.649087,1
822,42.327379,-104.650771,20
823,41.695093,-107.151138,14
824,44.304121,-108.752609,22
825,43.132798,-108.975360,9
826,43.102526,-106.354721,18
827,44.222832,-104.995202,16
828,44.569869,-106.743558,13
829,42.032735,-109.746907,19
830,43.735568,-110.575200,6
831,42.568793,-110.583239,18
832,43.358482,-113.025886,52
833,42.820765,-114.200883,37
834,44.367036,-112.680173,42
835,46.083373,-115.787112,27
836,44.115495,-115.951977,50
837,43.838847,-115.324836,12
838,47.797453,-116.524780,60
840,40.581001,-111.334027,86
841,40.734948,-111.831153,27
843,41.573777,-112.824907,39
844,41.247669,-112.034745,6
845,38.227233,-109.898562,26
846,39.518126,-111.869277,45
847,37.821583,-112.519559,69
850,33.633678,-112.096832,44
851,32.962651,-111.507616,25
852,33.621757,-111.675455,45
853,33.463163,-113.291064,69
855,33.439659,-110.350841,21
856,32.001793,-110.582926,45
857,32.175556,-111.113299,38
859,34.238946,-109.776705,26
860,35.944070,-111.184049,36
863,34.835115,-112.563047,25
864,35.546376,-113.871584,23
865,35.992023,-109.567937,20
870,35.179456,-106.799151,57
871,35.105271,-106.749587,22
873,35.487418,-108.565787,23
874,36.597788,-108.262086,15
875,36.202696,-105.988546,61
877,36.055520,-104.663704,30
878,33.979908,-107.927646,12
879,33.241485,-107.376132,12
880,32.361021,-107.995017,44
881,34.247217,-103.808829,19
882,32.917048,-104.086517,23
883,33.528399,-105.507526,33
884,35.688113,-103.835114,20
890,37.464170,-115.644123,47
891,36.264706,-115.507764,45
893,39.503446,-115.735723,9
894,40.388875,-118.660331,46
895,39.759594,-119.769927,13
897,39.193993,-119.785920,5
898,40.935930,-115.819154,16
900,34.043769,-118.313722,68
902,33.997538,-118.551045,35
903,33.953633,-118.346601,5
904,34.023396,-118.484642,5
905,33.835157,-118.332599,6
906,33.933294,-118.032558,18
907,33.624200,-118.294014,22
908,33.805060,-118.166392,14
910,34.237843,-118.178876,13
911,34.151028,-118.125624,8
912,34.184610,-118.245820,10
913,34.366795,-118.579786,38
914,34.179072,-118.462778,8
915,34.193842,-118.322346,5
916,34.171845,-118.389289,7
917,34.109369,-117.759422,46
918,34.083966,-118.135583,2
919,32.724051,-116.617965,25
920,33.167391,-116.626165,46
921,32.807181,-117.104066,43
922,33.549505,-115.515067,48
923,35.178022,-116.525537,63
924,34.191064,-117.333659,8
925,33.680002,-117.026644,40
926,33.619174,-117.689561,43
927,33.736744,-117.860842,9
928,33.842740,-117.710390,33
930,34.414350,-119.101705,24
931,34.492614,-119.899944,9
932,35.808606,-119.284987,65
933,35.358877,-119.016040,11
934,35.336246,-120.480808,38
935,36.145659,-118.286003,42
936,36.937473,-119.750040,59
937,36.709129,-119.844468,20
939,36.357843,-121.436228,25
940,37.405842,-122.287489,34
941,37.746875,-122.435356,29
943,37.429963,-122.142168,5
944,37.549413,-122.305730,4
945,38.045347,-122.024027,83
946,37.792133,-122.212339,15
947,37.878918,-122.270259,10
948,37.951565,-122.336203,5
949,38.134806,-122.718839,36
950,36.850368,-121.443078,39
951,37.287448,-121.708285,29
952,38.161542,-120.720796,41
953,37.629113,-120.499396,70
954,39.081561,-123.153476,68
955,40.678101,-123.767786,47
956,38.636032,-121.280483,87
957,38.814592,-120.820067,22
958,38.566966,-121.430282,29
959,39.476441,-121.709035,70
960,41.022350,-122.425928,74
961,40.490885,-120.388978,44
967,19.792547,-156.634499,78
968,21.325656,-157.823815,20
969,13.947498,145.058734,10
970,45.401815,-121.684053,62
971,45.535110,-123.454942,41
972,45.555190,-122.703517,35
973,44.676999,-123.181749,65
974,43.474339,-123.413589,78
975,42.360398,-123.059641,24
976,42.569859,-121.007033,22
977,43.594093,-119.933874,32
978,45.204167,-118.587098,53
979,43.449696,-117.643338,16
980,47.392586,-121.812049,55
981,47.594756,-122.356720,39
982,48.365193,-121.844589,67
983,47.440357,-123.010857,68
984,47.177061,-122.487737,27
985,46.940955,-123.266502,67
986,45.990612,-122.197146,57
988,48.021602,-119.929152,45
989,46.714706,-120.567719,30
990,47.597090,-117.584800,32
991,47.902411,-118.121271,64
992,47.682244,-117.406292,16
993,46.392549,-118.827740,35
994,46.217192,-117.309883,3
995,61.353980,-151.388601,57
996,61.296511,-153.087237,85
997,65.255555,-149.271180,77
998,57.783203,-134.748120,15
999,55.792971,-132.039392,11
